21320498,17275,11750,342890,false,true,true,false,false
21320734,13767,96538,501802,false,false,false,false,false
21320802,96751,13816,440976,false,false,false,false,false
21321034,94035,27161,"",false,false,false,false,false
21321106,1308,79054,101848,true,true,false,false,false
21321262,63837,6099,486783,false,false,false,false,false
21321407,18044,18576,"",false,false,false,false,false
21321527,79326,81247,168654,false,false,false,false,false
21321555,82951,10337,748878,false,false,false,false,false
21321589,43938,9116,417650,false,false,false,false,false
21321683,92980,32229,284453,false,false,false,false,false
21321943,49912,84717,971778,false,false,false,false,false
21322105,65330,78262,547440,false,true,false,false,false
21322110,13772,28487,406509,false,false,false,false,false
21322428,53041,73846,204995,false,false,false,false,false
21322462,23694,97094,850761,false,false,false,false,false
21322558,1746,41771,"",false,false,false,false,false
21322842,88284,75896,"",false,false,false,false,false
21323161,95558,44280,743254,false,false,false,false,false
21323274,45959,94240,"",false,false,false,false,false
21323313,39273,58702,"",false,false,false,false,false
21323339,4129,65346,"",false,false,false,false,false
